Date,Price,Open,High,Low,Vol.,Change %
2019-01-03,1675.83,1675.16,1680.78,1666.22,71.63M,0.46%
2019-01-02,1668.11,1693.51,1694.10,1666.07,49.25M,-1.33%
2018-12-31,1690.58,1693.76,1701.10,1689.04,85.77M,-0.09%
2018-12-28,1692.07,1687.91,1694.08,1684.47,69.61M,0.08%
2018-12-27,1690.72,1679.71,1691.65,1677.33,60.99M,1.08%
2018-12-26,1672.60,1668.69,1674.85,1660.80,62.05M,-0.67%
2018-12-24,1683.82,1669.99,1683.82,1658.10,51.25M,0.81%
2018-12-21,1670.28,1645.32,1672.21,1642.79,162.97M,1.19%
2018-12-20,1650.56,1634.41,1651.63,1630.95,140.77M,-0.31%
2018-12-19,1655.66,1635.94,1655.66,1634.55,203.85M,1.24%
2018-12-18,1635.31,1628.47,1643.88,1626.93,131.72M,-0.38%
2018-12-17,1641.62,1649.28,1660.66,1641.62,70.48M,-1.22%
2018-12-14,1661.96,1670.05,1671.73,1661.30,102.10M,-0.84%
2018-12-13,1676.00,1671.11,1677.91,1670.12,125.27M,0.77%
2018-12-12,1663.27,1657.09,1667.70,1656.47,137.60M,0.64%
2018-12-11,1652.63,1656.55,1665.69,1652.63,113.35M,-0.64%
2018-12-10,1663.31,1674.67,1674.67,1662.81,89.62M,-1.03%
2018-12-07,1680.54,1681.37,1684.36,1676.60,90.54M,-0.17%
2018-12-06,1683.34,1683.35,1686.49,1670.88,130.71M,-0.29%
2018-12-05,1688.27,1683.58,1688.60,1683.03,103.93M,-0.40%
2018-12-04,1694.99,1696.81,1698.51,1688.88,170.22M,-0.28%
2018-12-03,1699.72,1685.74,1700.67,1685.74,195.27M,1.18%
2018-11-30,1679.86,1701.56,1702.98,1677.45,297.29M,-0.97%
2018-11-29,1696.34,1694.85,1702.63,1694.85,246.90M,0.58%
2018-11-28,1686.55,1685.80,1688.71,1678.48,226.40M,0.09%
2018-11-27,1684.97,1698.72,1699.09,1683.15,399.00M,-1.00%
2018-11-26,1701.99,1693.04,1701.99,1688.45,90.42M,0.36%
2018-11-23,1695.88,1696.47,1696.54,1689.14,50.93M,0.02%
2018-11-22,1695.62,1694.59,1701.74,1689.03,79.92M,0.01%
2018-11-21,1695.37,1694.57,1698.68,1689.68,117.06M,-0.90%
2018-11-19,1710.71,1712.81,1712.97,1698.51,104.05M,0.25%
2018-11-16,1706.38,1705.81,1708.96,1701.92,105.60M,0.72%
2018-11-15,1694.21,1686.43,1698.14,1685.20,116.54M,0.34%
2018-11-14,1688.41,1685.69,1688.41,1678.82,114.13M,0.05%
2018-11-13,1687.57,1686.66,1691.91,1680.09,130.64M,-0.51%
2018-11-12,1696.14,1704.08,1706.34,1696.14,81.28M,-0.70%
2018-11-09,1708.09,1719.28,1719.73,1705.10,117.85M,-0.77%
2018-11-08,1721.42,1725.96,1726.10,1718.47,172.47M,0.38%
2018-11-07,1714.88,1712.71,1715.98,1704.93,226.87M,0.36%
2018-11-05,1708.80,1720.07,1720.07,1699.60,532.39M,-0.30%
2018-11-02,1713.87,1710.98,1720.13,1705.31,157.40M,0.41%
2018-11-01,1706.92,1710.59,1711.39,1701.28,94.93M,-0.14%
2018-10-31,1709.27,1691.39,1711.95,1689.43,176.48M,1.38%
2018-10-30,1685.94,1688.18,1696.99,1680.97,96.80M,0.13%
2018-10-29,1683.73,1682.55,1686.83,1680.59,72.19M,0.04%
2018-10-26,1683.06,1690.48,1691.44,1678.35,100.07M,-0.21%
2018-10-25,1686.59,1679.36,1686.59,1670.34,170.81M,-0.20%
2018-10-24,1690.04,1697.10,1706.18,1689.53,118.64M,-0.45%
2018-10-23,1697.60,1721.50,1721.91,1697.60,133.94M,-1.44%
2018-10-22,1722.47,1730.26,1730.27,1722.12,91.09M,-0.56%
2018-10-19,1732.14,1733.71,1733.71,1718.13,125.45M,-0.34%
2018-10-18,1738.01,1738.40,1740.83,1735.07,127.68M,-0.15%
2018-10-17,1740.59,1741.53,1742.80,1737.29,125.30M,0.22%
2018-10-16,1736.84,1728.17,1736.84,1727.34,89.36M,0.47%
2018-10-15,1728.74,1729.40,1739.32,1726.25,123.19M,-0.12%
2018-10-12,1730.74,1703.92,1732.16,1703.92,171.94M,1.30%
2018-10-11,1708.49,1699.76,1708.77,1682.98,301.43M,-1.54%
2018-10-10,1735.18,1781.72,1781.79,1732.50,207.39M,-2.20%
2018-10-09,1774.15,1773.03,1776.68,1771.16,76.55M,-0.09%
2018-10-08,1775.75,1773.51,1778.19,1769.72,85.75M,-0.08%
2018-10-05,1777.15,1787.52,1787.52,1776.52,116.58M,-0.72%
2018-10-04,1790.11,1796.79,1798.24,1787.88,157.72M,-0.34%
2018-10-03,1796.30,1797.90,1799.80,1794.23,83.42M,-0.10%
2018-10-02,1798.15,1792.73,1798.15,1791.67,89.85M,0.32%
2018-10-01,1792.46,1795.99,1797.85,1792.15,71.54M,-0.04%
2018-09-28,1793.15,1795.91,1798.68,1791.10,176.95M,-0.31%
2018-09-27,1798.64,1795.95,1803.71,1793.83,110.25M,0.00%
2018-09-26,1798.72,1789.00,1800.70,1787.62,124.11M,0.24%
